denylist_tier,openalex_id,s2_id,arxiv_id,doi,title,year,venue,domain,sources
1hop_referenced,https://openalex.org/W3152733922,,,https://doi.org/10.48550/arxiv.2104.10157,VideoGPT: Video Generation using VQ-VAE and Transformers,2021,arXiv (Cornell University),,
1hop_referenced,https://openalex.org/W3153854932,,,,On Buggy Resizing Libraries and Surprising Subtleties in FID Calculation,2021,arXiv (Cornell University),,
1hop_referenced,https://openalex.org/W3155072588,,,https://doi.org/10.1109/tpami.2022.3204461,Image Super-Resolution Via Iterative Refinement,2022,IEEE Transactions on Pattern Analysis and Machine Intelligence,,
1hop_referenced,https://openalex.org/W3162926177,,,https://doi.org/10.48550/arxiv.2105.05233,Diffusion Models Beat GANs on Image Synthesis,2021,arXiv (Cornell University),,
1hop_referenced,https://openalex.org/W3163884521,,,https://doi.org/10.1109/tpami.2021.3078577,Learning Layout and Style Reconfigurable GANs for Controllable Image Synthesis,2021,IEEE Transactions on Pattern Analysis and Machine Intelligence,,
1hop_referenced,https://openalex.org/W3165647589,,,https://doi.org/10.48550/arxiv.2105.13290,CogView: Mastering Text-to-Image Generation via Transformers,2021,arXiv (Cornell University),,
1hop_referenced,https://openalex.org/W3165905282,,,https://doi.org/10.48550/arxiv.2106.00132,On Fast Sampling of Diffusion Probabilistic Models,2021,arXiv (Cornell University),,
1hop_referenced,https://openalex.org/W3169064633,,,,,,,,
1hop_referenced,https://openalex.org/W3171313410,,,,Score Matching Model for Unbounded Data Score,2021,arXiv (Cornell University),,
1hop_referenced,https://openalex.org/W3174301209,,,https://doi.org/10.48550/arxiv.2106.14843,CLIPDraw: Exploring Text-to-Drawing Synthesis through Language-Image Encoders,2021,arXiv (Cornell University),,
1hop_referenced,https://openalex.org/W3174711319,,,,,,,,
1hop_referenced,https://openalex.org/W3175528029,,,https://doi.org/10.48550/arxiv.2106.15282,Cascaded Diffusion Models for High Fidelity Image Generation,2021,arXiv (Cornell University),,
1hop_referenced,https://openalex.org/W3176823897,,,https://doi.org/10.1109/cvpr46437.2021.00088,Dual Contradistinctive Generative Autoencoder,2021,,,
1hop_referenced,https://openalex.org/W3177150392,,,https://doi.org/10.48550/arxiv.2107.00630,Variational Diffusion Models,2021,arXiv (Cornell University),,
1hop_referenced,https://openalex.org/W3180355996,,,,,,,,
1hop_referenced,https://openalex.org/W3190116597,,,,SDEdit: Image Synthesis and Editing with Stochastic Differential Equations,2021,arXiv (Cornell University),,
1hop_referenced,https://openalex.org/W3190965961,,,,Perceiver IO: A General Architecture for Structured Inputs & Outputs,2021,arXiv (Cornell University),,
1hop_referenced,https://openalex.org/W3196163807,,,https://doi.org/10.48550/arxiv.2108.08827,ImageBART: Bidirectional Context with Multinomial Diffusion for Autoregressive Image Synthesis,2021,arXiv (Cornell University),,
1hop_referenced,https://openalex.org/W3199003182,,,https://doi.org/10.1109/wacv51458.2022.00323,Resolution-robust Large Mask Inpainting with Fourier Convolutions,2022,2022 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),,
1hop_referenced,https://openalex.org/W3203631022,,,,,,,,
1hop_referenced,https://openalex.org/W3206395542,,,https://doi.org/10.48550/arxiv.2110.04627,Vector-quantized Image Modeling with Improved VQGAN,2021,arXiv (Cornell University),,
1hop_referenced,https://openalex.org/W3209532394,,,https://doi.org/10.48550/arxiv.2111.02114,LAION-400M: Open Dataset of CLIP-Filtered 400 Million Image-Text Pairs,2021,arXiv (Cornell University),,
1hop_referenced,https://openalex.org/W3216237230,,,https://doi.org/10.48550/arxiv.2111.13792,LAFITE: Towards Language-Free Training for Text-to-Image Generation,2021,arXiv (Cornell University),,
1hop_referenced,https://openalex.org/W4286869901,,,,,,,,
1hop_referenced,https://openalex.org/W4287121833,,,,,,,,
1hop_referenced,https://openalex.org/W4287182033,,,,,,,,
1hop_referenced,https://openalex.org/W4287250916,,,,,,,,
1hop_referenced,https://openalex.org/W4287553002,,,,,,,,
1hop_referenced,https://openalex.org/W4288099666,,,https://doi.org/10.48550/arxiv.2207.12598,Classifier-Free Diffusion Guidance,2022,arXiv (Cornell University),,
1hop_referenced,https://openalex.org/W4288372760,,,,Improved Precision and Recall Metric for Assessing Generative Models,2019,arXiv (Cornell University),,
1hop_referenced,https://openalex.org/W4293320219,,,,,,,,
